Week,BS01,EV
1,0.047503339,0.047503339
2,1.330430753,1.330430753
3,1.330430753,1.330430753
4,6.283,5.527
5,6.891,6.2
6,7.07,6.45
7,15.61368328,12
8,15.94282204,20.64500375
9,17.62565797,27.63151784
10,26.15369601,31.4340694
11,26.15369601,31.4340694
12,26.15369601,31.4340694
13,30.07539469,49.0163486
14,37.19967093,49.0163486
15,40.16615566,49.21523744
16,48.5296637,49.21523744
17,53.70263547,65.82713986
18,57.7817833,65.82713986
19,63.83050234,71.83702412
20,65.90633505,72.49286597
21,70.2753598,73.14870782
22,71.58463651,76.78574678
23,75.40667081,79.63696984
24,76.61796001,80.787416
25,77.12093063,81.40268495
26,82.62044547,82.00302325
27,83.08521021,88.08086204
28,84.52882906,90.171
29,89.57607992,90.64829302
30,90.05854045,91.77904136
31,90.9128629,91.77904136
32,91.92457923,93.65697245
33,92.17079854,93.86781042
34,92.60967001,94.86781042
35,94.04854148,95.3
36,95.48741295,95.52
37,96.92628442,97.43
38,98.36515589,
39,99.80402736,
40,100,
