section,time,status,waterlost,depth
1,156,1,0.5283,40
2,1040,0,0.9542,45
3,59,1,0.6773,47
4,421,0,0.7279,41
5,329,1,0.1481,42
6,769,0,0.4236,47
7,365,1,0.4951,47
8,770,0,0.9857,42
9,1227,0,0.1728,48
10,268,1,0.0712,42
11,475,1,0.5424,41
12,1129,0,0.1673,43
13,464,1,0.4240,50
14,1206,0,0.9539,50
15,638,1,0.2992,48
16,563,1,0.0558,46
17,1106,0,0.3183,42
18,431,1,0.4762,44
19,855,0,0.4101,42
20,803,0,0.9394,45
21,115,1,0.9573,43
22,744,0,0.8402,46
23,477,0,0.3166,47
24,448,0,0.7257,46
25,353,1,0.6178,41
26,377,0,0.9832,45
